userId classId action
1 112868933125995978207650370309450774196L book
2 112868933125995978207650370309450774196L book
3 112868933125995978207650370309450774196L book
4 112868933125995978207650370309450774196L book
1 112894998240725221005523112433046140596L book
2 112894998240725221005523112433046140596L book
3 112894998240725221005523112433046140596L book
2 112868933125995978207650370309450774196L cancel
1 112868933125995978207650370309450774196L cancel
3 112894998240725221005523112433046140596L cancel
3 112894998240725221005523112433046140596L cancel
